0,0.974,-0.144,0,0.974,-0.144,0,0.974,-0.144,0.247417614,0
0,0.974,-0.144,0,0.974,-0.144,0,0.974,-0.144,0.247417614,0
0,0.974,-0.144,0,0.974,-0.144,0,0.974,-0.144,0.247417614,0
0.04288,0.95341,-0.17118,-0.097,0.777,-0.331,0.161,1.123,-0.003,0.243181835,0
0.09425,0.90052,-0.20296,-0.27,0.572,-0.818,1.176,1.686,0.053,0.274633304,0
0.01922,1.00394,-0.18194,-0.974,0.155,-1.302,1.264,1.95,0.103,0.38598257,0
0.03292,1.02148,-0.16766,-0.724,0.434,-0.754,0.997,2.103,0.129,0.357447542,0
-0.0179,0.89239,-0.17309,-1.238,0.507,-0.654,1.331,2.252,0.012,0.318789686,0
-0.00093,1.01445,-0.20817,-0.754,0.346,-0.674,0.809,2.276,0.129,0.378026556,0
-0.02081,0.88103,-0.14381,-0.328,0.472,-0.724,0.739,2.003,0.205,0.270875282,0
0.00077,1.02758,-0.15444,-0.812,0.276,-1.343,0.956,2.337,0.205,0.402621021,0
0.03905,0.99194,-0.12945,-0.78,0.408,-0.716,0.906,2.648,0.196,0.362866237,0
0.06557,0.94785,-0.1606,-0.314,0.528,-0.584,0.806,1.748,0.023,0.274726092,0
0.09057,0.97023,-0.22296,-0.293,0.569,-0.613,0.487,1.716,-0.032,0.294943346,0
0.12077,0.96156,-0.23397,-0.24,0.484,-0.572,0.642,1.73,0.026,0.292059018,0
0.07543,0.97696,-0.20382,-0.214,0.718,-0.642,0.862,1.334,-0.062,0.28436926,0
0.09154,0.84606,-0.1974,-0.273,0.223,-1.314,0.534,2.393,0.229,0.284970771,0
0.08092,0.98146,-0.23919,-0.721,0.314,-1.226,1.026,2.375,0.173,0.400543792,0
0.10357,0.99821,-0.26579,-1.158,0.372,-1.047,1.258,2.24,0.018,0.398586726,0
-0.01059,0.96173,-0.16313,-0.639,0.346,-0.786,1.211,1.959,0.167,0.346195513,0
-0.02999,0.90301,-0.1205,-0.613,0.437,-0.589,1.15,2.073,0.147,0.290891018,0
0.02316,1.01319,-0.18731,-0.522,0.317,-0.909,1.094,2.334,0.255,0.389761331,0
-0.00187,0.98382,-0.19533,-0.818,0.34,-0.959,0.727,2.402,0.185,0.366015134,0
0.05646,0.97143,-0.16385,-0.381,0.34,-0.842,0.853,1.88,0.191,0.332345284,0
0.12347,0.95756,-0.24811,-0.129,0.666,-0.727,0.754,1.76,0.003,0.289913689,0
0.07883,0.92933,-0.21617,-0.196,0.493,-0.628,0.619,1.589,-0.059,0.266525662,0
0.14962,0.96076,-0.23644,-0.073,0.437,-0.604,0.68,1.924,0.047,0.287660517,0
0.08879,0.97077,-0.22438,-0.431,0.501,-1.023,0.507,2.402,0.003,0.326039142,0
0.06023,0.91469,-0.14975,-0.578,0.343,-0.73,1.138,1.991,0.232,0.305286415,0
0.00409,0.94879,-0.12605,-1.76,0.463,-1.199,2.047,2.674,0.22,0.424207824,0
0.02743,0.96198,-0.19584,-0.378,0.402,-0.801,0.619,2.123,0.097,0.334563521,0
0.04219,0.97745,-0.23343,-0.877,0.393,-0.856,1.188,2.085,0.026,0.389975764,0
0.07579,0.98278,-0.22468,-0.411,0.349,-1.053,0.833,2.138,0.085,0.3669513,0
0.08564,0.94899,-0.20115,-0.754,0.205,-1.07,1.669,2.012,0.097,0.397422264,0
0.17825,0.95709,-0.23716,-0.328,0.472,-0.839,1.103,1.956,0.182,0.333295035,0
0.12943,0.95164,-0.2815,-0.317,0.522,-0.889,0.78,1.534,0.018,0.309252551,0
0.0975,0.97638,-0.17802,-0.243,0.783,-0.613,0.962,1.578,0.059,0.278925721,0
0.10934,0.92537,-0.17211,-0.337,0.607,-0.701,0.953,1.405,0.056,0.262345093,0
0.06021,0.97347,-0.22214,-0.326,0.431,-1.173,0.677,2.223,0.029,0.33913898,0
0.06086,0.97237,-0.20475,-0.789,0.408,-1.261,1.158,2.282,0.185,0.387171493,0
0.0202,0.96502,-0.18552,-0.924,0.091,-1.513,0.997,2.979,0.273,0.453080574,0
