1,0.141,1.015,0.015,0.141,1.015,0.015,0.141,1.015,0.015,0.198411594,0
2,0.141,1.015,0.015,0.141,1.015,0.015,0.141,1.015,0.015,0.198411594,0
3,0.141,1.015,0.015,0.141,1.015,0.015,0.141,1.015,0.015,0.198411594,0
4,0.141,1.015,0.015,0.141,1.015,0.015,0.141,1.015,0.015,0.198411594,0
5,0.15094,1.00472,0.09538,0.041,0.754,-0.023,0.226,1.208,0.232,0.177778776,0
6,0.08831,1.02206,0.0704,-0.152,0.771,-0.082,0.261,1.299,0.384,0.208411868,0
7,0.14561,0.99425,0.03799,-0.129,0.856,-0.152,0.29,1.161,0.264,0.19093413,0
8,0.09289,1.01851,0.12298,-0.396,0.707,-0.235,0.457,1.402,0.393,0.211202604,0
9,0.05311,1.03828,0.19706,-0.496,-0.205,-0.161,0.672,1.9,0.941,0.269149421,0
10,0.05916,0.95685,0.23196,-0.44,-0.686,-0.933,0.833,3.745,2.504,0.633832665,0
11,0.051,0.97121,0.25698,-0.402,-0.754,-0.859,1.199,4.317,2.962,0.780223116,0
12,0.03329,0.92305,0.22738,-0.616,-0.762,-1.141,1.044,4.592,2.956,0.815377871,0
13,0.02605,0.95742,0.30806,-0.534,-0.669,-1.032,1.073,4.695,3.566,0.960097221,0
14,0.02762,0.89741,0.33279,-0.724,-0.751,-1.1,1.276,4.78,3.46,0.924892005,0
15,0.02819,0.95416,0.35988,-0.613,-0.865,-0.953,1.276,4.924,3.525,0.970835627,0
16,0.01417,0.87387,0.34078,-0.683,-0.639,-1.082,1.361,5.059,3.613,0.931530246,0
17,0.01003,0.86285,0.3547,-0.713,-0.83,-1.023,1.091,5.252,3.504,1.014691421,0
18,0.01986,0.86788,0.35977,-0.584,-0.915,-1.044,1.267,4.88,3.762,0.923514492,0
19,0.0391,0.88496,0.32592,-0.686,-0.768,-1.155,1.63,5.22,3.765,1.069829342,0
20,-0.01532,0.88252,0.37688,-0.827,-0.548,-1.109,1.232,5.238,3.531,0.936182514,0
21,0.06487,1.00294,0.42974,-0.897,-0.648,-1.24,1.419,5.871,4.273,1.282066926,0
22,0.07334,0.96332,0.30107,-0.894,-0.845,-0.877,1.757,5.111,3.358,1.039691072,0
